case_id,category,question,code,fail_reason,sql
63,时间范围查询,最近30天销售额,2000,Schema 幻觉字段: ['CURRENT_DATE'],"SELECT ROUND(SUM(amount), 2) AS 销售额 FROM orders WHERE order_date >= DATE_SUB(CURRENT_DATE, INTERVAL 30 DAY) LIMIT 1000"
64,时间范围查询,今年销售额,2000,"Schema 幻觉字段: ['DATE_FORMAT', 'Y', 'DATE_FORMAT', 'Y']","SELECT ROUND(SUM(amount),2) AS 销售额 FROM orders WHERE order_date >= DATE_FORMAT(CURDATE(),'%Y-01-01') AND order_date < DATE_FORMAT(CURDATE(),'%Y-01-01') + INTERVAL 1 YEAR LIMIT 1000"
65,时间范围查询,去年销售额,2000,"Schema 幻觉字段: ['DATE_FORMAT', 'Y', 'DATE_FORMAT', 'Y']","SELECT SUM(amount) AS 销售额 FROM orders WHERE order_date >= DATE_FORMAT(NOW(), '%Y-01-01') - INTERVAL 1 YEAR AND order_date < DATE_FORMAT(NOW(), '%Y-01-01') LIMIT 1000"
66,时间范围查询,本月订单量,2000,"Schema 幻觉字段: ['DATE_FORMAT', 'Y', 'm']","SELECT COUNT(*) AS 订单量 FROM orders WHERE order_date >= DATE_FORMAT(NOW(), '%Y-%m-01') AND order_date <= NOW() LIMIT 1000"
73,时间范围查询,最近90天订单数,2000,Schema 幻觉字段: ['CURRENT_DATE'],"SELECT COUNT(*) AS 订单量 FROM orders WHERE order_date >= DATE_SUB(CURRENT_DATE, INTERVAL 90 DAY) LIMIT 1000"
74,时间范围查询,本周订单量,2000,"Schema 幻觉字段: ['YEARWEEK', 'YEARWEEK']","SELECT COUNT(*) AS 订单量 FROM orders WHERE YEARWEEK(order_date, 1) = YEARWEEK(NOW(), 1) LIMIT 1000"
84,模糊语义查询,完成的订单,2000,Schema 幻觉字段: ['completed'],SELECT * FROM orders WHERE status = 'completed' LIMIT 1000
85,模糊语义查询,成交金额,2000,Schema 幻觉字段: ['completed'],"SELECT ROUND(SUM(amount), 2) FROM orders WHERE status = 'completed' LIMIT 1000"
95,复杂嵌套查询,销量超过平均销量的商品,2000,Schema 幻觉字段: ['WITH'],"WITH product_sales AS (SELECT p.id, p.name, SUM(o.quantity) AS 销量 FROM orders o JOIN products p ON o.product_id = p.id GROUP BY p.id, p.name) SELECT id, name, 销量 FROM product_sales WHERE 销量 > (SELECT AVG(销量) FROM product_sales) LIMIT 1000"
301,澄清触发测试,对比一下 top5,2000,"期望 code=(4002,) 实际 2000","SELECT p.name, ROUND(SUM(o.amount), 2) AS total_amount FROM orders o JOIN products p ON o.product_id = p.id GROUP BY p.id, p.name ORDER BY total_amount DESC LIMIT 5"
303,澄清触发测试,销量排名前,2000,"期望 code=(4002,) 实际 2000","SELECT p.name, SUM(o.quantity) AS 销量 FROM orders o JOIN products p ON o.product_id = p.id GROUP BY p.name ORDER BY 销量 DESC LIMIT 10"
304,澄清触发测试,各地区的情况,2000,"期望 code=(4002,) 实际 2000","SELECT region, COUNT(*) AS order_count, ROUND(SUM(amount), 2) AS total_amount, SUM(quantity) AS total_quantity FROM orders GROUP BY region LIMIT 1000"
311,模糊语义查询,成交总额,2000,Schema 幻觉字段: ['completed'],"SELECT ROUND(SUM(amount), 2) AS completed_total FROM orders WHERE status = 'completed' LIMIT 1000"
312,模糊语义查询,已完成的订单总额,2000,Schema 幻觉字段: ['completed'],SELECT SUM(amount) AS total_amount FROM orders WHERE status = 'completed' LIMIT 1000
313,模糊语义查询,退回到库的订单数,5003,"期望 code=(2000,) 实际 5003",
215,JOIN多表查询,钻石等级客户买的家居类商品总金额,2000,Schema 幻觉字段: ['TRUNCATE'],"SELECT TRUNCATE(SUM(o.amount),2) AS total_amount FROM orders o JOIN customers c ON o.user_id = c.id JOIN products p ON o.product_id = p.id WHERE c.level='钻石' AND p.category='家居' LIMIT 1000"
230,JOIN多表查询,本月数码类商品的销售额,2000,"Schema 幻觉字段: ['DATE_FORMAT', 'Y', 'm', 'DATE_FORMAT', 'Y']","SELECT SUM(o.amount) AS 销售额 FROM orders o JOIN products p ON o.product_id = p.id WHERE p.category = '数码' AND o.order_date >= DATE_FORMAT(CURDATE(), '%Y-%m-01') AND o.order_date < DATE_ADD(DATE_FORMAT(CURDATE(), '%Y-%m-01'), INTERVAL 1 MONTH) LIMIT 1000"
